Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,2740.925209727847
East,East_conventional_hydroelectric_1,1,1,0.0
East,East_landfill_gas_1,1,1,0.0
East,East_natural_gas_internal_combustion_engine_1,1,1,0.0
East,East_petroleum_liquids_with_gt_1,1,1,0.0
East,East_petroleum_liquids_with_ic_1,1,1,0.0
East,East_solar_photovoltaic_1,1,1,0.0
North,North_conventional_hydroelectric_1,2,1,0.0
North,North_landfill_gas_1,2,1,0.0
North,North_natural_gas_internal_combustion_engine_1,2,1,0.0
North,North_onshore_wind_turbine_1,2,1,0.0
North,North_petroleum_liquids_with_cc_1,2,1,0.0
North,North_petroleum_liquids_with_gt_1,2,1,0.0
North,North_petroleum_liquids_with_st_1,2,1,0.0
North,North_solar_photovoltaic_1,2,1,0.0
South,South_batteries_1,3,1,11642.141875091462
South,South_conventional_hydroelectric_1,3,1,0.0
South,South_conventional_steam_coal_1,3,1,0.0
South,South_natural_gas_fired_combined_cycle_1,3,1,0.0
South,South_natural_gas_steam_turbine_1,3,1,0.0
South,South_onshore_wind_turbine_1,3,1,0.0
South,South_petroleum_liquids_with_cc_1,3,1,0.0
South,South_petroleum_liquids_with_gt_1,3,1,0.0
South,South_petroleum_liquids_with_st_1,3,1,0.0
South,South_solar_photovoltaic_1,3,1,0.0
West,West_batteries_1,4,1,38372.923499506614
West,West_petroleum_liquids_with_gt_1,4,1,0.0
West,West_petroleum_liquids_with_ic_1,4,1,0.0
West,West_solar_photovoltaic_1,4,1,0.0
East,East_battery_moderate_0,1,0,2.444400080226833
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.0
East,East_utilitypv_class1_moderate_1,1,1,0.0
East,East_landbasedwind_class3_moderate_1,1,1,0.0
North,North_battery_moderate_0,2,0,445627.67902039265
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.0
North,North_utilitypv_class1_moderate_1,2,1,0.0
North,North_landbasedwind_class3_moderate_1,2,1,0.0
South,South_battery_moderate_0,3,0,0.24057157621406838
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.0
South,South_utilitypv_class1_moderate_1,3,1,0.0
South,South_landbasedwind_class3_moderate_1,3,1,0.0
West,West_battery_moderate_0,4,0,1.4371497522986887
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.0
West,West_utilitypv_class1_moderate_1,4,1,0.0
West,West_landbasedwind_class3_moderate_1,4,1,0.0
